Baldwin IV,King Amalric
Baldwin IV,Raymond III
Baldwin IV,Saladin
Baldwin IV,Reynald of Chatillon
Baldwin IV,Whilliam of Montferrat
Baldwin IV,Baldwin V
Baldwin IV,Whilliam of Tyre
Baldwin IV,Agnes of Courtenay
Baldwin IV,Queen Sibylla
Baldwin IV,Guy of Lusignan
Guy of Lusignan,Hugh VIII of Lusignan
Guy of Lusignan,Conrad of Montferrat
Guy of Lusignan,Philip II of France
Guy of Lusignan,Richard I of England
Guy of Lusignan,Henry II of England
Guy of Lusignan,Reignald of Sidon
Guy of Lusignan,Bohemod III of Antioch
Guy of Lusignan,Thomas Becket
Guy of Lusignan,Humphrey IV of Toron
Guy of Lusignan,Balian of Ibelin
Richard I,Geoffrey II
Richard I,Queen Elanor of Castille
Richard I,Queen Joan of Sicily
Richard I,Whilliam IX
Richard I,Whilliam the Conqueror
Richard I,Matilda of Scotland
Richard I,Henry VI
Richard I,Leopold V
Richard I,Philip of Cognac
Richard I,Arthur of Brittany
Leopold V,Frederick Barbarossa
Leopold V,Henry II Jasomirgott
Leopold V,Frederick of Bohemia
Leopold V,Ottokar IV
Leopold V,Frederick of Swabia
Leopold V,Pope Celestine III
Leopold V,Frederick I
Leopold V,Adalbert of Salzburg
Leopold V,Helena of Hungary
Leopold V,Theodora Komnene
Frederick Barbarossa,Welf VI
Frederick Barbarossa,Louis VII of France
Frederick Barbarossa,Gilbert of Mons
Frederick Barbarossa,Roger II of Sicily
Frederick Barbarossa,Otto I
Frederick Barbarossa,Svend III
Frederick Barbarossa,Pope Eugine III
Frederick Barbarossa,Whilliam I of Sicily
Frederick Barbarossa,Renaud III
Frederick Barbarossa,Empress of Beatrice
Welf VI,Henry the Proud
Welf VI,Pope Alexander III
Welf VI,Uta of Schauenburg
Welf VI,Henry IX
Welf VI,Wulfhide of Saxony
Welf VI,Ulrich of Attems
Welf VI,Henry Berengar
Welf VI,Godfrey of Calw
Welf VI,Judith
Welf VI,Rideluf
Pope Alexander III,Adrian IV
Pope Alexander III,Paschal III
Pope Alexander III,Calixtus III
Pope Alexander III,Eugine III
Pope Alexander III,Whilliam I of Scotland
Pope Alexander III,Manuel I Komnenos
Pope Alexander III,Geza II of Hungary
Pope Alexander III,Victor IV
Pope Alexander III,Oddone Frangipane
Pope Alexander III,Eskil of Lund
Whilliam I of Scotland,Alexander II of Scotland
Whilliam I of Scotland,Ermengarde
Whilliam I of Scotland,Dunacn II
Whilliam I of Scotland,Isabella of Scotland
Whilliam I of Scotland,Lucius III
Whilliam I of Scotland,John Scotus
Whilliam I of Scotland,Patrick I
Whilliam I of Scotland,Roger de Mandeville
Whilliam I of Scotland,Robert de Ros
Whilliam I of Scotland,Isabella Mac Whilliam
Alexander II of Scotland,Alexander III
Alexander II of Scotland,Jon Haraldsson
Alexander II of Scotland,Boethius de Dane
Alexander II of Scotland,Pope Honorius III
Alexander II of Scotland,Pope Celestine IV
Alexander II of Scotland,Saint Olaf
Alexander II of Scotland,Marie de Coucy
Alexander II of Scotland,Joan of England
Alexander II of Scotland,John of England
Alexander II of Scotland,Patrick II
Alexander III,Margaret of England
Alexander III,Haakon
Alexander III,Robert the Bruce
Alexander III,Eric II of Norway
Alexander III,John Balliol
Alexander III,Andrew Wyntoun
Alexander III,Alexander
Alexander III,Henry III of England
Alexander III,James III
Alexander III,Mael Coluim II
